Date,Open,High,Low,Close,Adj Close,Volume
2014-09-15,5.085890,5.170770,4.154990,4.245920,4.245920,19980430
2014-09-22,4.245930,4.881350,4.188870,4.233230,4.233230,15405925
2014-09-29,4.237630,4.549010,3.480600,3.699140,3.699140,23029960
2014-10-06,3.703050,4.028760,3.572250,3.850330,3.850330,43270430
2014-10-13,3.846440,4.229110,3.791180,3.988940,3.988940,29014390
2014-10-20,3.983570,3.983570,3.629040,3.727180,3.727180,17402440
2014-10-27,3.724060,3.896580,3.554500,3.585100,3.585100,16946990
2014-11-03,3.585910,3.671090,3.532330,3.631460,3.631460,15486970
2014-11-10,3.632160,4.350220,3.593560,3.883630,3.883630,43496320
2014-11-17,3.880560,3.996990,3.480410,3.594360,3.594360,22517880
2014-11-24,3.594640,3.696700,3.500910,3.576090,3.576090,16490550
2014-12-01,3.575590,3.749530,3.566640,3.711160,3.711160,13134870
2014-12-08,3.708370,3.765220,3.439630,3.480480,3.480480,16282880
2014-12-15,3.481110,3.481600,2.701970,2.850390,2.850390,23342260
2014-12-22,2.860250,2.906680,2.670910,2.733040,2.733040,14067060
2014-12-29,2.733800,2.747220,1.912410,1.956680,1.956680,15292735
2015-01-05,1.958030,2.160480,1.621860,1.724560,1.724560,27649770
2015-01-12,1.717680,1.794200,1.113740,1.333330,1.333330,19865740
2015-01-19,1.328570,2.374950,1.299640,2.248300,2.248300,19955361
2015-01-26,2.245490,2.385360,1.679150,1.803520,1.803520,24464690
2015-02-02,1.812810,1.937600,1.730200,1.783590,1.783590,16953602
2015-02-09,1.785270,2.029530,1.687290,1.842000,1.842000,14695920
2015-02-16,1.844480,1.878910,1.785150,1.796200,1.796200,9991024
2015-02-23,1.803050,1.911680,1.780920,1.891570,1.891570,8918866
2015-03-02,1.892420,1.973650,1.863570,1.891860,1.891860,13922780
2015-03-09,1.892500,2.083450,1.889130,2.018830,2.018830,15099030
2015-03-16,2.021760,2.061630,1.653620,1.797720,1.797720,11815290
2015-03-23,1.799680,1.799680,1.611170,1.655680,1.655680,10311415
2015-03-30,1.656460,1.711550,1.630360,1.700820,1.700820,7783828
2015-04-06,1.701640,1.715850,1.439000,1.462470,1.462470,8311311
2015-04-13,1.471760,1.483040,1.336220,1.389170,1.389170,8159229
2015-04-20,1.384290,1.472480,1.304020,1.321170,1.321170,7043048
2015-04-27,1.321850,1.454570,1.321850,1.432700,1.432700,9542908
2015-05-04,1.434610,1.491810,1.383050,1.438740,1.438740,9297045
2015-05-11,1.438520,1.483090,1.399560,1.454140,1.454140,6471043
2015-05-18,1.453640,1.904140,1.441650,1.831170,1.831170,12593560
2015-05-25,1.833410,1.870390,1.629580,1.637080,1.637080,10977870
2015-06-01,1.638560,1.784950,1.593390,1.730530,1.730530,9416560
2015-06-08,1.731820,2.071490,1.728550,2.002870,2.002870,11014094
2015-06-15,2.002350,3.195350,1.993200,3.022360,3.022360,48624760
2015-06-22,3.021450,3.305820,2.687810,3.305820,3.305820,22419130
2015-06-29,3.187730,4.952720,3.033050,4.952720,4.952720,63808380
2015-07-06,4.947000,8.727480,3.705330,5.287250,5.287250,203658200
2015-07-13,5.299920,5.299920,3.299720,3.766110,3.766110,67169100
2015-07-20,3.770320,4.881260,3.684240,4.662320,4.662320,46854050
2015-07-27,4.683130,5.136690,3.858910,4.174910,4.174910,45699130
2015-08-03,4.169470,4.472260,3.811390,3.898590,3.898590,28438360
2015-08-10,3.900800,4.159550,3.840410,3.952280,3.952280,19966300
2015-08-17,3.963320,4.034990,3.353160,3.394470,3.394470,20079380
2015-08-24,3.392580,3.392580,2.543790,2.848400,2.848400,32560770
2015-08-31,2.853230,3.115150,2.579970,3.048070,3.048070,16152270
2015-09-07,3.039000,3.128620,2.774920,2.815940,2.815940,12636600
2015-09-14,2.814920,3.007320,2.774110,2.846440,2.846440,8333349
2015-09-21,2.853720,2.948780,2.795230,2.871160,2.871160,6939521
2015-09-28,2.881330,3.172000,2.878110,3.014360,3.014360,11681871
2015-10-05,3.021060,3.162400,2.985710,3.145040,3.145040,9284599
2015-10-12,3.149030,3.195900,3.004980,3.022790,3.022790,11213400
2015-10-19,3.030620,3.141280,3.006690,3.065790,3.065790,8415123
2015-10-26,3.071100,4.199040,3.058510,3.959300,3.959300,36544230
2015-11-02,3.982890,5.324500,3.409950,3.419070,3.419070,74273530
2015-11-09,3.432860,3.455450,2.942580,3.065800,3.065800,22834610
2015-11-16,3.066450,3.226760,3.047430,3.136830,3.136830,9885990
2015-11-23,3.143890,3.716310,3.087870,3.669730,3.669730,21669450
2015-11-30,3.664370,3.737460,3.303660,3.473100,3.473100,18637770
2015-12-07,3.452550,3.973310,3.447110,3.626740,3.626740,28507300
2015-12-14,3.636880,3.839350,3.482610,3.536120,3.536120,20985970
2015-12-21,3.546210,3.684380,3.382790,3.479050,3.479050,15973530
2015-12-28,3.477810,3.531020,3.414170,3.483070,3.483070,16896290
2016-01-04,3.479100,3.641420,3.442690,3.536720,3.536720,20858640
2016-01-11,3.526270,3.569220,2.919460,3.026190,3.026190,27481170
2016-01-18,3.019550,3.434500,2.977630,3.181000,3.181000,19815250
2016-01-25,3.187950,3.320190,3.043660,3.052160,3.052160,18589250
2016-02-01,3.073430,3.182270,3.037910,3.085960,3.085960,10023530
2016-02-08,3.091900,3.213070,3.050940,3.210590,3.210590,9063339
2016-02-15,3.232040,3.583640,3.170720,3.464270,3.464270,15256840
2016-02-22,3.465920,3.524700,3.324230,3.441860,3.441860,11516786
2016-02-29,3.441200,3.489750,3.132970,3.221650,3.221650,10006720
2016-03-07,3.221620,3.404060,3.201260,3.307400,3.307400,8143340
2016-03-14,3.309090,3.327900,3.152820,3.205550,3.205550,6194537
2016-03-21,3.205190,3.324950,3.188030,3.303600,3.303600,9277450
2016-03-28,3.302910,3.302910,3.196290,3.262680,3.262680,10118860
2016-04-04,3.261300,3.271080,3.198170,3.226990,3.226990,8285978
2016-04-11,3.227450,3.294060,3.213850,3.257770,3.257770,8625010
2016-04-18,3.260370,3.645350,3.239180,3.631830,3.631830,13434390
2016-04-25,3.622860,4.229930,3.550760,3.705200,3.705200,33591830
2016-05-02,3.708710,4.003440,3.638680,3.938140,3.938140,15410480
2016-05-09,3.937630,4.115630,3.796350,4.063120,4.063120,18231790
2016-05-16,4.063080,4.162770,3.817890,3.929700,3.929700,19479880
2016-05-23,3.922930,4.864990,3.899460,4.609620,4.609620,38643620
